client_ip_addr,server_ip_addr,client_port,server_port,protocol,app,node,time,total_byte,total_packet,tcp_retransmisson_packet,tcp_segment_lost_packet,client_max_ack_delay,server_max_ack_delay,tcp_syn_packet,tcp_synack_packet,client_tcp_fin_packet,server_tcp_fin_packet,tcp_syn_ratio,client_tcp_fin_ratio,client_avg_ack_delay,server_avg_ack_delay,tcp_shakehands_total_count,connection_rst,connection_noresponse,tcp_shakehands_failed_count,slowconnect,tcp_transaction_no_response_count,tcp_transaction_total_count,tcp_transaction_worse_count,tcp_transaction_max_rtt,tcp_window_0,isabn,time_1,experts_99
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359455,5419,13,5,0,0.080097625,201.1448829,1,1,2,6,1,0.166666667,0.792578453,201.071787,0,0,0,0,1,0,1,6,1.511647392,0,,2020/5/2 2:57,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359457,5728,13,5,0,0.084880156,200.5468849,1,1,2,7,1,0.166666667,0.653470164,200.9924941,0,0,0,0,1,0,1,6,1.690364013,0,,2020/5/2 2:57,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359462,5187,13,5,0,0.466251435,201.1168516,1,1,2,6,1,0.166666667,0.512173157,200.9357998,0,0,0,0,1,0,1,8,1.812019518,0,,2020/5/2 2:57,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359458,5585,13,5,0,0.816456832,200.9948254,1,1,1,7,1,0.166666667,0.792319526,201.149178,0,0,0,0,1,0,1,1,1.332942023,0,,2020/5/2 2:57,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359462,6016,13,5,0,0.301902915,201.0451349,1,1,1,7,1,0.166666667,0.885241596,200.6189621,0,0,0,0,1,0,1,10,1.67819271,0,,2020/5/2 2:57,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359467,6000,13,5,0,0.483594383,201.349616,1,1,2,7,1,0.166666667,0.872067343,200.6985918,0,0,0,0,0,0,1,2,1.611519778,0,,2020/5/2 2:57,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359468,5257,13,5,0,0.976215758,201.2069884,1,1,1,7,1,0.166666667,0.85796472,201.3363164,0,0,0,0,0,0,1,10,1.315413938,0,,2020/5/2 2:57,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359474,5511,13,5,0,0.199524115,200.6402021,1,1,2,7,1,0.166666667,0.83540573,200.8429838,0,0,0,0,0,0,1,6,1.469176553,0,,2020/5/2 2:57,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359474,5525,13,5,0,0.519739543,200.5562945,1,1,1,7,1,0.166666667,0.806645858,201.2280945,0,0,0,0,0,0,1,1,1.67308407,0,,2020/5/2 2:57,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359481,5914,13,5,0,0.290042698,201.1193679,1,1,1,7,1,0.166666667,0.542282427,200.9974719,0,0,0,0,0,0,1,9,1.449909519,0,,2020/5/2 2:58,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359485,5304,13,5,0,0.214494001,201.140318,1,1,1,7,1,0.166666667,0.103289914,201.0382504,0,0,0,0,0,0,1,9,1.814775975,0,,2020/5/2 2:58,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359480,5648,13,5,0,0.877335747,201.3550547,1,1,1,6,1,0.166666667,0.767650106,201.3123306,0,0,0,0,0,0,1,3,1.994858172,0,,2020/5/2 2:58,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359486,5399,13,5,0,0.346728057,200.6622375,1,1,1,6,1,0.166666667,0.24150354,200.7020736,0,0,0,0,1,0,1,1,1.823878228,0,,2020/5/2 2:58,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359487,5351,13,5,0,0.407250713,200.9575742,1,1,2,7,1,0.166666667,0.349080398,201.2152789,0,0,0,0,1,0,1,5,1.474877575,0,,2020/5/2 2:58,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359490,5530,13,5,0,0.43596116,200.765603,1,1,2,6,1,0.166666667,0.57791243,201.1808328,0,0,0,0,0,0,1,0,1.076606504,0,,2020/5/2 2:58,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359494,5821,13,5,0,0.168215106,200.6663542,1,1,1,6,1,0.166666667,0.347003984,200.8150901,0,0,0,0,1,0,1,8,1.04870212,0,,2020/5/2 2:58,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359501,5530,13,5,0,0.246151126,200.8010871,1,1,1,7,1,0.166666667,0.73633668,200.7773135,0,0,0,0,1,0,1,7,1.603385699,0,,2020/5/2 2:58,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359504,5477,13,5,0,0.691859523,201.1477097,1,1,1,7,1,0.166666667,0.274374259,200.6289489,0,0,0,0,1,0,1,5,1.573153418,0,,2020/5/2 2:58,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359506,5577,13,5,0,0.624102149,201.0066046,1,1,2,7,1,0.166666667,0.849309331,201.2791647,0,0,0,0,0,0,1,5,1.889295179,0,,2020/5/2 2:58,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359509,5579,13,5,0,0.100359951,201.1891661,1,1,1,7,1,0.166666667,0.287424026,200.6563747,0,0,0,0,0,0,1,5,1.07890092,0,,2020/5/2 2:58,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359506,5094,13,5,0,0.238602878,200.5174293,1,1,1,6,1,0.166666667,0.144779182,200.7363225,0,0,0,0,1,0,1,5,1.567614037,0,,2020/5/2 2:58,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359517,5395,13,5,0,0.532627557,201.2474758,1,1,1,7,1,0.166666667,0.704048898,201.1346159,0,0,0,0,0,0,1,0,1.442420634,0,,2020/5/2 2:58,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359522,5841,13,5,0,0.248466146,201.2164667,1,1,2,7,1,0.166666667,0.005183159,201.181116,0,0,0,0,0,0,1,6,1.757993098,0,,2020/5/2 2:58,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359525,5875,13,5,0,0.397098495,200.8751478,1,1,1,7,1,0.166666667,0.214283966,201.2415526,0,0,0,0,1,0,1,1,1.393058955,0,,2020/5/2 2:58,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359519,5670,13,5,0,0.829839784,200.7823995,1,1,1,6,1,0.166666667,0.717344048,201.0882472,0,0,0,0,1,0,1,4,1.820151027,0,,2020/5/2 2:58,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359526,5323,13,5,0,0.837130432,200.918532,1,1,2,6,1,0.166666667,0.216186036,200.7707605,0,0,0,0,0,0,1,2,1.523453038,0,,2020/5/2 2:58,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359524,5485,13,5,0,0.168497015,200.465631,1,1,1,7,1,0.166666667,0.294114855,201.3078462,0,0,0,0,1,0,1,1,1.084378956,0,,2020/5/2 2:58,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359531,5592,13,5,0,0.324220887,200.6617465,1,1,2,7,1,0.166666667,0.447089176,201.0750587,0,0,0,0,0,0,1,1,1.909107938,0,,2020/5/2 2:58,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359532,5983,13,5,0,0.498620506,200.7126547,1,1,1,7,1,0.166666667,0.935748009,201.3906687,0,0,0,0,1,0,1,8,1.23565018,0,,2020/5/2 2:58,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359533,5188,13,5,0,0.059150463,200.5576756,1,1,1,6,1,0.166666667,0.040379834,201.227605,0,0,0,0,1,0,1,1,1.715834982,0,,2020/5/2 2:58,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359536,5581,13,5,0,0.308149781,201.10021,1,1,2,6,1,0.166666667,0.051362981,200.8408954,0,0,0,0,1,0,1,9,1.871274948,0,,2020/5/2 2:58,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359539,5116,13,5,0,0.069639922,201.2566992,1,1,1,6,1,0.166666667,0.804298384,200.8028681,0,0,0,0,1,0,1,2,1.055976882,0,,2020/5/2 2:58,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359545,5538,13,5,0,0.223906677,201.2317992,1,1,2,7,1,0.166666667,0.402312715,201.2440554,0,0,0,0,0,0,1,10,1.502215305,0,,2020/5/2 2:59,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359553,5101,13,5,0,0.236141122,200.4181813,1,1,1,7,1,0.166666667,0.002773555,201.1814291,0,0,0,0,1,0,1,3,1.533354942,0,,2020/5/2 2:59,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359555,5713,13,5,0,0.203683639,201.1714964,1,1,2,7,1,0.166666667,0.830106074,201.2305345,0,0,0,0,0,0,1,6,1.124315934,0,,2020/5/2 2:59,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359554,5543,13,5,0,0.573663251,201.3825735,1,1,1,7,1,0.166666667,0.487130214,200.4837182,0,0,0,0,0,0,1,0,1.232922988,0,,2020/5/2 2:59,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359563,5759,13,5,0,0.373402487,200.8814561,1,1,1,6,1,0.166666667,0.216544547,200.5009245,0,0,0,0,1,0,1,0,1.98816613,0,,2020/5/2 2:59,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359566,5518,13,5,0,0.339411364,200.7819133,1,1,2,7,1,0.166666667,0.10918267,200.9501609,0,0,0,0,1,0,1,0,1.942182794,0,,2020/5/2 2:59,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359560,5884,13,5,0,0.12716337,200.7071094,1,1,2,7,1,0.166666667,0.580591675,201.2020921,0,0,0,0,1,0,1,3,1.550254719,0,,2020/5/2 2:59,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359564,5866,13,5,0,0.824724085,200.7763531,1,1,2,6,1,0.166666667,0.304443608,200.8885933,0,0,0,0,1,0,1,2,1.750811829,0,,2020/5/2 2:59,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359566,5412,13,5,0,0.931932845,200.6458428,1,1,1,6,1,0.166666667,0.684569762,201.3322351,0,0,0,0,0,0,1,10,1.085155721,0,,2020/5/2 2:59,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359578,5166,13,5,0,0.498482488,200.6264597,1,1,1,7,1,0.166666667,0.732282624,200.7668845,0,0,0,0,0,0,1,8,1.154470542,0,,2020/5/2 2:59,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359580,5563,13,5,0,0.280908551,200.7834754,1,1,1,6,1,0.166666667,0.295154809,201.3584568,0,0,0,0,1,0,1,2,1.689241714,0,,2020/5/2 2:59,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359576,5300,13,5,0,0.6213807,200.7228623,1,1,1,6,1,0.166666667,0.600391331,201.1850534,0,0,0,0,0,0,1,1,1.90153898,0,,2020/5/2 2:59,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359584,5248,13,5,0,0.46770214,200.4455825,1,1,1,7,1,0.166666667,0.77314059,201.0512831,0,0,0,0,1,0,1,8,1.686859659,0,,2020/5/2 2:59,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359590,5731,13,5,0,0.217674994,201.3428379,1,1,2,7,1,0.166666667,0.749974298,201.2109275,0,0,0,0,1,0,1,6,1.348164803,0,,2020/5/2 2:59,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359588,5829,13,5,0,0.738206101,200.5610118,1,1,1,6,1,0.166666667,0.164316911,200.8229159,0,0,0,0,0,0,1,6,1.859217116,0,,2020/5/2 2:59,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359589,5025,13,5,0,0.059115605,201.282053,1,1,2,6,1,0.166666667,0.470959455,200.7653899,0,0,0,0,0,0,1,7,1.373737328,0,,2020/5/2 2:59,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359599,5210,13,5,0,0.445750609,201.0539012,1,1,2,7,1,0.166666667,0.587890828,200.8565538,0,0,0,0,0,0,1,9,1.464637508,0,,2020/5/2 2:59,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359602,5908,13,5,0,0.722096188,200.539852,1,1,1,7,1,0.166666667,0.016068724,200.5757175,0,0,0,0,0,0,1,10,1.511090219,0,,2020/5/2 3:00,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359597,5756,13,5,0,0.512093693,201.2578349,1,1,1,7,1,0.166666667,0.491138415,200.9841312,0,0,0,0,1,0,1,2,1.739068757,0,,2020/5/2 2:59,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359603,5915,13,5,0,0.696563726,201.0328659,1,1,1,7,1,0.166666667,0.006542928,200.9949892,0,0,0,0,1,0,1,8,1.408237864,0,,2020/5/2 3:00,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359608,5379,13,5,0,0.117318292,200.6900663,1,1,1,7,1,0.166666667,0.957699995,200.9230678,0,0,0,0,0,0,1,2,1.445431559,0,,2020/5/2 3:00,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359614,5472,13,5,0,0.060013996,200.8203703,1,1,1,7,1,0.166666667,0.58106298,201.2128279,0,0,0,0,0,0,1,4,1.059385238,0,,2020/5/2 3:00,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359612,5148,13,5,0,0.053842066,200.942143,1,1,2,6,1,0.166666667,0.250026325,200.450114,0,0,0,0,1,0,1,6,1.33742763,0,,2020/5/2 3:00,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359614,5557,13,5,0,0.240863277,200.7923061,1,1,2,6,1,0.166666667,0.606002673,201.0921489,0,0,0,0,0,0,1,7,1.576475603,0,,2020/5/2 3:00,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359623,5689,13,5,0,0.88528838,201.1578963,1,1,2,6,1,0.166666667,0.911455441,201.2803379,0,0,0,0,1,0,1,1,1.115815685,0,,2020/5/2 3:00,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359620,5586,13,5,0,0.6910078,200.7826228,1,1,2,6,1,0.166666667,0.346476604,201.1196214,0,0,0,0,0,0,1,8,1.155122678,0,,2020/5/2 3:00,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359624,5207,13,5,0,0.676860071,200.4403098,1,1,2,7,1,0.166666667,0.754874438,201.1046716,0,0,0,0,0,0,1,5,1.197133441,0,,2020/5/2 3:00,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359633,5318,13,5,0,0.814891681,200.7583114,1,1,1,7,1,0.166666667,0.381027674,201.3650558,0,0,0,0,0,0,1,1,1.438887332,0,,2020/5/2 3:00,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359632,5302,13,5,0,0.914074761,201.2316002,1,1,1,6,1,0.166666667,0.120647852,201.259312,0,0,0,0,1,0,1,7,1.316148943,0,,2020/5/2 3:00,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359636,5096,13,5,0,0.191360808,200.4845543,1,1,2,6,1,0.166666667,0.949701709,200.8252542,0,0,0,0,1,0,1,7,1.544116713,0,,2020/5/2 3:00,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359639,5164,13,5,0,0.739207094,200.8848487,1,1,2,7,1,0.166666667,0.879557703,200.4291123,0,0,0,0,0,0,1,8,1.402799597,0,,2020/5/2 3:00,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359640,5889,13,5,0,0.943497825,200.7537544,1,1,1,7,1,0.166666667,0.424342032,201.3116455,0,0,0,0,0,0,1,0,1.831155625,0,,2020/5/2 3:00,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359645,5029,13,5,0,0.574020191,201.2261494,1,1,1,6,1,0.166666667,0.878297795,200.8665454,0,0,0,0,0,0,1,3,1.843974627,0,,2020/5/2 3:00,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359642,5819,13,5,0,0.951903204,201.0928785,1,1,2,7,1,0.166666667,0.844097027,201.3299016,0,0,0,0,0,0,1,9,1.00574794,0,,2020/5/2 3:00,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359646,5766,13,5,0,0.202783453,201.38801,1,1,2,7,1,0.166666667,0.045399993,200.4619944,0,0,0,0,1,0,1,9,1.144334081,0,,2020/5/2 3:00,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359653,5892,13,5,0,0.129303256,201.3964498,1,1,2,7,1,0.166666667,0.366938694,201.1831624,0,0,0,0,1,0,1,4,1.053093334,0,,2020/5/2 3:00,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359660,5752,13,5,0,0.859541773,201.3602859,1,1,2,6,1,0.166666667,0.235095228,200.6958916,0,0,0,0,1,0,1,10,1.890227638,0,,2020/5/2 3:01,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359654,5128,13,5,0,0.528023536,200.6381817,1,1,1,7,1,0.166666667,0.312189018,201.3147335,0,0,0,0,0,0,1,0,1.103912943,0,,2020/5/2 3:00,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359657,5699,13,5,0,0.172787695,201.214384,1,1,1,6,1,0.166666667,0.847938986,201.2941823,0,0,0,0,0,0,1,7,1.555146295,0,,2020/5/2 3:00,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359665,5057,13,5,0,0.261062535,201.0794317,1,1,2,7,1,0.166666667,0.380274435,200.8228552,0,0,0,0,1,0,1,3,1.749868285,0,,2020/5/2 3:01,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359666,5134,13,5,0,0.185252429,201.26828,1,1,1,7,1,0.166666667,0.912729523,201.0321907,0,0,0,0,0,0,1,7,1.813238073,0,,2020/5/2 3:01,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359666,5869,13,5,0,0.248469743,200.4692783,1,1,1,6,1,0.166666667,0.913845288,200.827287,0,0,0,0,1,0,1,2,1.696178536,0,,2020/5/2 3:01,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359673,5326,13,5,0,0.515000052,201.3226969,1,1,2,7,1,0.166666667,0.955907903,200.9195857,0,0,0,0,1,0,1,6,1.009078862,0,,2020/5/2 3:01,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359680,5430,13,5,0,0.149869238,200.5759302,1,1,2,7,1,0.166666667,0.767977572,200.6619076,0,0,0,0,0,0,1,10,1.188391043,0,,2020/5/2 3:01,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359684,5768,13,5,0,0.501536085,201.1310692,1,1,1,7,1,0.166666667,0.909311349,200.4290986,0,0,0,0,1,0,1,2,1.19401339,0,,2020/5/2 3:01,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359685,5826,13,5,0,0.244941692,200.4640279,1,1,2,6,1,0.166666667,0.109412082,200.5227344,0,0,0,0,1,0,1,5,1.876082026,0,,2020/5/2 3:01,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359682,5275,13,5,0,0.455200419,200.5161695,1,1,1,7,1,0.166666667,0.037612764,201.0118354,0,0,0,0,0,0,1,2,1.399316729,0,,2020/5/2 3:01,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359690,5121,13,5,0,0.265007675,201.026487,1,1,1,7,1,0.166666667,0.871160786,200.8328683,0,0,0,0,0,0,1,4,1.823983587,0,,2020/5/2 3:01,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359687,5393,13,5,0,0.497786985,201.0208626,1,1,1,7,1,0.166666667,0.607839573,200.5963143,0,0,0,0,0,0,1,6,1.828851307,0,,2020/5/2 3:01,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359691,6013,13,5,0,0.793675326,200.6350266,1,1,2,7,1,0.166666667,0.313825915,201.2877773,0,0,0,0,0,0,1,9,1.253397372,0,,2020/5/2 3:01,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359702,5281,13,5,0,0.194558178,200.7384369,1,1,1,6,1,0.166666667,0.360745443,201.1497995,0,0,0,0,1,0,1,10,1.864986025,0,,2020/5/2 3:01,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359695,5999,13,5,0,0.762865175,200.7047827,1,1,1,6,1,0.166666667,0.351585538,200.4050473,0,0,0,0,0,0,1,4,1.966675311,0,,2020/5/2 3:01,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359705,5973,13,5,0,0.637667991,201.356744,1,1,1,7,1,0.166666667,0.738003001,201.325636,0,0,0,0,1,0,1,8,1.982603525,0,,2020/5/2 3:01,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359710,5188,13,5,0,0.473115649,201.1458899,1,1,2,7,1,0.166666667,0.906154046,201.1940202,0,0,0,0,0,0,1,9,1.66876393,0,,2020/5/2 3:01,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359706,6004,13,5,0,0.120956677,200.8431514,1,1,2,6,1,0.166666667,0.749238578,200.5289109,0,0,0,0,0,0,1,3,1.064449863,0,,2020/5/2 3:01,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359712,5891,13,5,0,0.938943026,201.3564287,1,1,1,6,1,0.166666667,0.688020135,200.6805958,0,0,0,0,1,0,1,5,1.959598262,0,,2020/5/2 3:01,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359714,5910,13,5,0,0.092215175,201.3536578,1,1,1,6,1,0.166666667,0.017454728,201.2750214,0,0,0,0,0,0,1,7,1.403502868,0,,2020/5/2 3:01,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359720,5289,13,5,0,0.992723417,201.3356784,1,1,2,6,1,0.166666667,0.096525991,200.6571211,0,0,0,0,0,0,1,9,1.052921972,0,,2020/5/2 3:02,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359719,5705,13,5,0,0.310379413,200.9330447,1,1,2,6,1,0.166666667,0.796083046,201.3476679,0,0,0,0,0,0,1,2,1.003715692,0,,2020/5/2 3:01,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359720,5829,13,5,0,0.974646157,200.7631452,1,1,1,6,1,0.166666667,0.200732643,200.7211778,0,0,0,0,0,0,1,2,1.621152734,0,,2020/5/2 3:02,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359725,5718,13,5,0,0.097408042,200.6865942,1,1,1,6,1,0.166666667,0.711261807,201.0477987,0,0,0,0,1,0,1,3,1.635406996,0,,2020/5/2 3:02,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359732,5769,13,5,0,0.650962885,201.0959235,1,1,2,7,1,0.166666667,0.374028253,200.8319335,0,0,0,0,0,0,1,2,1.301135018,0,,2020/5/2 3:02,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359738,5912,13,5,0,0.385283508,200.9432075,1,1,1,7,1,0.166666667,0.37368572,201.0810433,0,0,0,0,1,0,1,9,1.491394427,0,,2020/5/2 3:02,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359738,5532,13,5,0,0.2889937,201.0803477,1,1,2,7,1,0.166666667,0.393622212,200.9023136,0,0,0,0,0,0,1,1,1.887996688,0,,2020/5/2 3:02,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359743,5515,13,5,0,0.268268532,201.237028,1,1,2,7,1,0.166666667,0.297962731,200.4426126,0,0,0,0,1,0,1,0,1.96033217,0,,2020/5/2 3:02,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359744,5994,13,5,0,0.31530652,200.6726083,1,1,2,6,1,0.166666667,0.406109859,200.4242417,0,0,0,0,0,0,1,2,1.869326353,0,,2020/5/2 3:02,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359745,5883,13,5,0,0.246654606,200.8065213,1,1,1,7,1,0.166666667,0.536395879,200.4625803,0,0,0,0,0,0,1,6,1.37002859,0,,2020/5/2 3:02,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359744,5454,13,5,0,0.561547203,200.736445,1,1,2,7,1,0.166666667,0.221748687,201.2406347,0,0,0,0,0,0,1,6,1.54634524,0,,2020/5/2 3:02,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359749,5502,13,5,0,0.371056638,200.5812591,1,1,1,6,1,0.166666667,0.23291039,200.8846326,0,0,0,0,1,0,1,7,1.712649852,0,,2020/5/2 3:02,0
